date,counts,total_passenger,total_amount,total_tips,total_dist,avg_dist
2018-01-29,306,494,20625.43,2360.62,5542.3,18.112091503
2018-10-28,349,641,22565.07,2157.06,6444.75,18.308948864
2018-08-11,284,563,18063.46,1466.87,5222.32,18.323929825
2018-05-08,355,671,23781.68,2461,6491.18,18.131787709
2018-12-24,157,312,10055.17,683.15,2868.34,18.269681529
2018-01-22,321,509,21566.19,2418.43,5871.92,18.235776398
2018-07-10,311,571,20715.17,2119.13,5652.89,18.176495177
2018-10-21,364,624,23256.84,2134.38,6620.54,18.188296703
2018-03-04,283,1034,36591.98,3963.06,10865.58,19.129542254
2018-05-23,280,467,18191.13,1580.59,5137.44,18.348
2018-11-16,308,598,19927.69,1570.32,5637.77,18.245210356
2018-05-13,449,725,29253.12,3212.42,8443.95,18.764333333
2018-09-12,308,524,20551.12,2230.62,5588.86,18.145649351
2018-09-24,382,624,25650.38,2881.36,7122.07,18.644162304
2018-03-27,296,1088,39247.96,3830.94,10952.5,18.438552189
2018-07-29,301,550,19639.47,2032.92,5534.37,18.265247525
2018-03-17,212,774,26735.32,2444.6,8303.68,19.584150943
2018-07-17,298,544,19561.09,1800.81,5483.45,18.278166667
2018-04-09,401,716,26902.78,2801.72,7354.98,18.20539604
2018-01-20,159,300,9970.33,778.53,3029.83,19.055534591
2018-04-13,305,527,20099.06,1957.1,5626.68,18.387843137
2018-05-20,325,546,21032.89,2190.85,6105.7,18.729141104
2018-12-17,241,464,15889.14,1425.13,4423.55,18.279132231
2018-05-03,365,653,23648.81,1963.02,6696.85,18.347534247
2018-05-22,291,494,19032.18,1805.44,5319.18,18.278969072
2018-09-01,311,596,19616.33,1412.07,5725.93,18.29370607
2018-12-19,255,469,16607.8,1384.42,4633.14,18.169176471
2018-03-05,384,1382,51628.74,5776.36,14038.56,18.184663212
2018-01-07,232,406,14932.99,1575.63,4273.24,18.419137931
2018-10-27,348,717,21724.67,1426.99,6363.9,18.287068966
2018-10-16,346,585,23142.04,2360.25,6325.37,18.176350575
2018-10-26,388,759,25090.92,1969.92,7135.56,18.249514066
2018-02-16,288,555,18654.51,1460.99,5325.72,18.364551724
2018-10-05,381,642,24659.71,2108.75,6971.5,18.297900262
2018-06-26,341,619,22483.03,2006.39,6253.8,18.232653061
2018-12-09,297,520,19431.35,2159.86,5410.53,18.217272727
2018-09-25,331,583,21873.2,2236.86,6116.79,18.479728097
2018-11-06,340,581,22368.11,2532.1,6245.7,18.315835777
2018-06-05,307,524,20698.24,2272.24,5588.01,18.14288961
2018-01-08,331,605,21733.48,1994.54,6151.37,18.528222892
2018-11-07,303,524,20206.36,2012.03,5579.2,18.352631579
2018-07-28,323,565,20475.83,1832.49,5952.63,18.429195046
2018-03-07,166,570,22205.66,2259.18,6118.92,18.103313609
2018-09-02,191,324,11840.78,716.15,3533.36,18.499267016
2018-08-21,324,585,20954.24,1711.27,5894.98,18.194382716
2018-05-05,305,500,19305.12,1601.38,5989.46,19.509641694
2018-01-18,283,486,18392.68,1502.34,5214.82,18.362042254
2018-04-06,234,447,15104.06,1157.18,4294.56,18.352820513
2018-02-07,211,369,14017.77,1442.46,3872.79,18.354454976
2018-04-15,308,521,20141.31,2265.04,5910.84,19.128932039
2018-04-26,401,713,26334.12,2363.38,7496.29,18.509358025
2018-05-25,340,654,21730.29,1586.78,6296.7,18.519705882
2018-11-29,312,583,20337.18,1741.12,5684.4,18.219230769
2018-12-20,234,458,15085.6,1136.43,4294.91,18.198771186
2018-09-14,269,495,17678.97,1510.85,4954.42,18.28199262
2018-02-26,302,543,20033.42,2131.68,5469.9,18.112251656
2018-03-28,314,1214,41110.98,3539.22,11629,18.458730159
2018-08-20,307,570,20171.31,1837.07,5528.53,18.008241042
2018-03-08,289,1068,37416.14,3046.86,10557.24,18.265121107
2018-05-15,312,502,20633.58,2060.01,5732.99,18.316261981
2018-03-16,265,966,33990.32,2566.4,9734.32,18.366641509
2018-07-16,358,635,23893.86,2477.02,6545.11,18.130498615
2018-03-09,284,972,36938.98,3179.08,10430.78,18.299614035
2018-02-15,274,503,17823.32,1488.64,5059.73,18.399018182
2018-11-17,234,431,15223.16,1528.76,4269.74,18.169106383
2018-09-13,319,533,20976.56,2008.67,5858.61,18.365548589
2018-05-14,434,721,29109.09,3284.61,7893.01,18.186658986
2018-06-15,296,556,19047.6,1463.76,5526.77,18.608653199
2018-01-28,210,327,13579.53,1451.91,4041.29,19.244238095
2018-03-18,288,984,37690.22,4407.1,11122.1,19.242387543
2018-12-10,397,694,26584.06,2850.13,7292.51,18.369042821
2018-11-30,326,598,21232.27,1881.27,6007.02,18.370091743
2018-07-30,345,669,22723.92,2132.53,6277.1,18.141907514
2018-09-03,287,520,18296.14,1514.59,5272.5,18.307291667
2018-07-05,272,532,17578.26,1338.67,4928.36,18.118970588
2018-08-09,322,619,20837.44,1602.67,5911.23,18.357857143
2018-10-06,306,572,19616.14,1658.34,5653.42,18.35525974
2018-10-17,355,616,23657.53,2467.02,6482.66,18.261014085
2018-11-08,307,552,20074.84,1817.3,5612.03,18.280228013
2018-01-09,257,440,17009.24,1665.24,4777.56,18.375230769
2018-04-16,409,728,27338.06,2900.14,7425.72,18.155794621
2018-06-16,317,591,20255.91,1839.67,5965.4,18.81829653
2018-06-27,287,569,18831.26,1739.24,5297.23,18.329515571
2018-11-18,243,424,15508.57,1384.81,4421.17,18.194115226
2018-05-26,309,626,19332.73,1366.65,5697.6,18.379354839
2018-07-18,330,624,21590.5,2049.04,5994.79,18.166030303
2018-08-10,290,568,18722.19,1451.51,5266.99,18.162034483
2018-09-04,413,723,27516.91,2831.83,7580.46,18.266168675
2018-06-06,305,552,20303.28,2150.14,5599.27,18.298267974
2018-08-22,300,586,19484.71,1630.65,5487.37,18.291233333
2018-03-29,335,1290,42916.56,2930.68,12307.18,18.368925373
2018-04-27,421,758,27311.7,2151.68,7767.14,18.405545024
2018-04-07,215,428,13302.87,897.62,4167.05,19.291898148
2018-02-27,226,382,15199.03,1733.99,4082.33,18.06340708
2018-01-30,217,361,14421.59,1583.25,3945.18,18.180552995
2018-12-11,275,501,18404.77,2105.69,5022.14,18.130469314
2018-07-06,256,470,16657.05,1351.79,4729.3,18.401945525
2018-07-31,254,458,16815.06,1565.88,4642.8,18.207058824
2018-06-17,327,607,21265.28,2253.4,6036.87,18.461376147
2018-02-28,274,512,18330.77,1872.85,4987.8,18.137454545
2018-10-29,348,629,23045.51,2286.95,6351.13,18.198080229
2018-03-19,368,1228,49728.28,5650.5,13526.4,18.278918919
2018-08-01,307,579,19996.61,1611.35,5580.67,18.178078176
2018-10-18,390,712,25578.49,2306.77,7168.7,18.3342711
2018-04-17,336,635,22195.21,2123.73,6116.62,18.150207715
2018-12-01,249,450,15962.08,1388.32,4591.89,18.36756
2018-11-19,225,440,14616.58,1216.96,4110.84,18.189557522
2018-06-28,382,708,24724.39,2074.11,7117.94,18.633350785
2018-07-19,285,526,18671.59,1741.72,5240.42,18.323146853
2018-09-15,255,497,15823.33,1104.83,4686.23,18.377372549
2018-03-30,310,1190,40004.46,2849.38,11442.9,18.396945338
2018-09-27,369,687,24233.56,2156.96,6788.84,18.348216216
2018-07-07,233,436,14762.32,1232.56,4325.44,18.564120172
2018-12-12,270,442,17902.37,1829.64,4937.82,18.288222222
2018-05-16,368,702,24283.85,2400.35,6757.72,18.363369565
2018-10-07,252,430,16146.72,1465.86,4813.96,19.027509881
2018-09-26,315,563,20925.55,2103.83,5809.71,18.327160883
2018-09-05,336,582,21811.57,1838.15,6080.06,18.095416667
2018-08-23,334,674,21672.25,1807.47,6161.31,18.391970149
2018-05-27,244,447,15094.97,973.43,4504.88,18.462622951
2018-12-21,296,546,18979.31,1344.27,5420.58,18.189865772
2018-04-08,247,426,15981.25,1834.99,4726.39,19.135182186
2018-02-17,220,426,14027.75,1202.73,4272.34,19.244774775
2018-02-09,305,581,19657.23,1544.85,5634.78,18.414313725
2018-03-10,264,844,33340.24,2805.84,10378.04,19.581207547
2018-03-20,298,1058,39970.34,4453.94,10877.86,18.190401338
2018-05-06,280,474,17817.76,1754.85,5366.18,19.164928571
2018-10-08,358,643,23365.89,2477.61,6549.79,18.24454039
2018-03-01,330,1144,43124.92,3637.74,12110.4,18.238554217
2018-07-20,314,605,20234.11,1571.02,5817.76,18.469079365
2018-03-31,253,1074,31119.5,2023.98,9774.9,19.204125737
2018-02-18,206,387,12931.29,1081.92,3928.04,19.06815534
